Price,Location,Area,Number_of_rooms,Number_of_bathroom,Province
400.000,"djerba houmt souk,Midoun,Djerba Midoun,Mednine",280,2,2,Mednine
1,"djerba houmt souk,Midoun,Djerba Midoun,Mednine",200,2,3,Mednine
560.000,"la soukra ,Soukra,Soukra,Ariana",220,4,2,Ariana
450.000,"djerba houmt souk ,Midoun,Djerba Midoun,Mednine",208,1,3,Mednine
750.000,"djerba houmt souk,Midoun,Djerba Midoun,Mednine",350,2,3,Mednine
380.000,"djerba houmt souk,Midoun,Djerba Midoun,Mednine",175,1,2,Mednine
350.000,"djerba houmt souk ,Midoun,Djerba Midoun,Mednine",140,2,2,Mednine
500.000,"Mrezga,Hammamet,Nabeul",400,4,1,Nabeul
1.150.000,"El Bouhaira,Le Kram,Tunis",350,3,3,Tunis
850,"Bouficha,Bouficha,Sousse",734,4,2,Sousse
490.000,"Baraket Essahel,Hammamet,Nabeul",220,2,1,Nabeul
950.000,"Hammamet Nord,Hammamet,Nabeul",350,3,3,Nabeul
1,"Bou Melel,Djerba Houmet Souk,Mednine",820,12,4,Mednine
3.800.000,"El Kantaoui,Hammam Sousse,Sousse",400,4,4,Sousse
350,"Bouledhieb,Agareb,Sfax",600,5,1,Sfax
105.000,"Mohamedia,Mohammedia,Ben Arous",95,2,1,Ben Arous
350,"Errafaha,El Mnihla,Ariana",1,4,1,Ariana
120.000,"Douar Hicher,Douar Hicher,Manouba",225,2,1,Manouba
260.000,"Chela,Bou Mhel El Bassatine,Ben Arous",240,4,3,Ben Arous
890.000,"Ettaamir,Soukra,Ariana",350,4,5,Ariana
370.000,"Bouzaiane,Sfax Sud,Sfax",520,4,1,Sfax
3.400,"1er Juin,El Menzah,Tunis",1100,6,3,Tunis
850.000,"Ettaamir,Soukra,Ariana",560,9,4,Ariana
600.000,"Borj El Ouzir,Soukra,Ariana",180,3,2,Ariana
980.000,"Hammem Chatt,Hammam Chatt,Ben Arous",680,4,1,Ben Arous
750.000,"Ksar Bardo,Béja Nord,Béja",650,6,1,Béja
205.000,"Ettaamir,Soukra,Ariana",220,6,2,Ariana
140.000,"El Haouaria Nord,El Haouaria,Nabeul",317,5,2,Nabeul
230.000,"Ouled Kacem,Kerkennah,Sfax",3000,3,2,Sfax
250.000,"Ettaamir,Soukra,Ariana",165,3,2,Ariana
1.140.000,"El Manar (1),El Menzah,Tunis",670,9,5,Tunis
475.000,"El Ghazala,Raoued,Ariana",625,7,5,Ariana
365.000,"Zouila,Mahdia,Mahdia",120,3,1,Mahdia
540.000,"Zrig Eddakhlania,Gabès Sud,Gabès",657,6,3,Gabès
180,"El Bahr El Azrak,La Marsa,Tunis",80,2,1,Tunis
138,"Bach Hamba,Ezzouhour,Tunis",120,8,2,Tunis
110,"Bach Hamba,Ezzouhour,Tunis",4,3,1,Tunis
6.500.000,"Hammem Chatt,Hammam Chatt,Ben Arous",328,5,2,Ben Arous
120,"Borj Chakir,Sidi Hassine,Tunis",2,2,1,Tunis
3.500,"Ettaamir,Soukra,Ariana",2000,6,1,Ariana
